"ttl","ttl href"
"НАРЕДБА № 38 ОТ 28 СЕПТЕМВРИ 2010 Г. ЗА ПРИДОБИВАНЕ НА КВАЛИФИКАЦИЯ ПО ПРОФЕСИЯТА ""ОРГАНИЗАТОР В ДЪРВООБРАБОТВАНЕТО И ПРОИЗВОДСТВОТО НА МЕБЕЛИ""","https://www.ciela.net/svobodna-zona-normativi/view/2135698243/naredba-%E2%84%96-38-ot-28-septemvri-2010-g-za-pridobivane-na-kvalifikatsiya-po-profesiyata-"
"НАРЕДБА № 7 ОТ 23 МАРТ 2010 Г. ЗА УСЛОВИЯТА И РЕДА ЗА РЕГИСТРАЦИЯ НА ЗЕМЕДЕЛСКА ТЕХНИКА, ГОРСКА ТЕХНИКА И МАШИНИ ЗА ЗЕМНИ РАБОТИ","https://www.ciela.net/svobodna-zona-normativi/view/2135672984/naredba-%E2%84%96-7-ot-23-mart-2010-g-za-usloviyata-i-reda-za-registratsiya-na-zemedelska-tehnika-gorska-tehnika-i-mashini-za-zemni-raboti"
"НАРЕДБА ЗА УСЛОВИЯТА И РЕДА ЗА ПРИЛАГАНЕ НА СХЕМА ЗА ПРЕДОСТАВЯНЕ НА ПЛОДОВЕ И ЗЕЛЕНЧУЦИ В УЧЕБНИТЕ ЗАВЕДЕНИЯ - СХЕМА ""УЧИЛИЩЕН ПЛОД""","https://www.ciela.net/svobodna-zona-normativi/view/2135679324/naredba-za-usloviyata-i-reda-za-prilagane-na-shema-za-predostavyane-na-plodove-i-zelenchutsi-v-uchebnite-zavedeniya---shema-"
"НАРЕДБА № 22 ОТ 10 ДЕКЕМВРИ 2007 Г. ЗА РЕДА ЗА ПРЕДОСТАВЯНЕ УПРАВЛЕНИЕТО НА РИБНИТЕ РЕСУРСИ В ИЗКУСТВЕНИ ВОДНИ ОБЕКТИ - ДЪРЖАВНА СОБСТВЕНОСТ, НА СДРУЖЕНИЯ ЗА ЛЮБИТЕЛСКИ РИБОЛОВ","https://www.ciela.net/svobodna-zona-normativi/view/2135574358/naredba-%E2%84%96-22-ot-10-dekemvri-2007-g-za-reda-za-predostavyane-upravlenieto-na-ribnite-resursi-v-izkustveni-vodni-obekti---darzhavna-sobstvenost-na-sdruzheniya-za-lyubitelski-ribolov"
"НАРЕДБА ЗА ИЗИСКВАНИЯТА ЗА БЕЗОПАСНОСТ НА МАГНИТНИТЕ ДЕТСКИ ИГРАЧКИ","https://www.ciela.net/svobodna-zona-normativi/view/2135605827/naredba-za-iziskvaniyata-za-bezopasnost-na-magnitnite-detski-igrachki"
"НАРЕДБА № 25 ОТ 10 НОЕМВРИ 2008 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ПУСКАНЕ В ДЕЙСТВИЕ НА МЕДИЦИНСКИ ИЗДЕЛИЯ БЕЗ НАЛИЧИЕ НА УСЛОВИЯТА ПО ЧЛ. 8 ОТ ЗАКОНА ЗА МЕДИЦИНСКИТЕ ИЗДЕЛИЯ","https://www.ciela.net/svobodna-zona-normativi/view/2135605826/naredba-%E2%84%96-25-ot-10-noemvri-2008-g-za-usloviyata-i-reda-za-puskane-v-deystvie-na-meditsinski-izdeliya-bez-nalichie-na-usloviyata-po-chl-8-ot-zakona-za-meditsinskite-izdeliya"
"НАРЕДБА ЗА ИЗИСКВАНИЯТА ЗА ТРЕТИРАНЕ И ТРАНСПОРТИРАНЕ НА ПРОИЗВОДСТВЕНИ И НА ОПАСНИ ОТПАДЪЦИ ОТ 1999 Г.","https://www.ciela.net/svobodna-zona-normativi/view/-549700606/naredba-za-iziskvaniyata-za-tretirane-i-transportirane-na-proizvodstveni-i-na-opasni-otpadatsi-ot-1999-g"
"НАРЕДБА № 4 ОТ 16 МАРТ 1999 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ИЗВЪРШВАНЕ НА СОЦИАЛНИ УСЛУГИ","https://www.ciela.net/svobodna-zona-normativi/view/-549700608/naredba-%E2%84%96-4-ot-16-mart-1999-g-za-usloviyata-i-reda-za-izvarshvane-na-sotsialni-uslugi"
"НАРЕДБА № 2 - ПРАВИЛА ЗА УПРАЖНЯВАНЕ НА АДВОКАТСКАТА ПРОФЕСИЯ И ПРОФЕСИОНАЛНА ОТГОВОРНОСТ","https://www.ciela.net/svobodna-zona-normativi/view/-1073741265/naredba-%E2%84%96-2---pravila-za-uprazhnyavane-na-advokatskata-profesiya-i-profesionalna-otgovornost"
"НАРЕДБА НА СТОЛИЧЕН ОБЩИНСКИ СЪВЕТ ЗА ПАЗАРИТЕ НА ТЕРИТОРИЯТА НА СТОЛИЧНА ОБЩИНА","https://www.ciela.net/svobodna-zona-normativi/view/-1073741267/naredba-na-stolichen-obshtinski-savet-za-pazarite-na-teritoriyata-na-stolichna-obshtina"
"НАРЕДБА НА СТОЛИЧЕН ОБЩИНСКИ СЪВЕТ ЗА ИЗГРАЖДАНЕ НА ОБЩОДОСТЪПНА СРЕДА В ГРАД СОФИЯ","https://www.ciela.net/svobodna-zona-normativi/view/-1073741270/naredba-na-stolichen-obshtinski-savet-za-izgrazhdane-na-obshtodostapna-sreda-v-grad-sofiya"
"НАРЕДБА НА СТОЛИЧЕН ОБЩИНСКИ СЪВЕТ ЗА РЕДА ЗА ПРЕОБРАЗУВАНЕ И ПРИВАТИЗАЦИЯ НА ЛЕЧЕБНИТЕ ЗАВЕДЕНИЯ","https://www.ciela.net/svobodna-zona-normativi/view/-1073741272/naredba-na-stolichen-obshtinski-savet-za-reda-za-preobrazuvane-i-privatizatsiya-na-lechebnite-zavedeniya"
"НАРЕДБА НА СТОЛИЧЕН ОБЩИНСКИ СЪВЕТ ЗА ИЗВЪРШВАНЕ НА ОБЩЕСТВЕН ПРЕВОЗ НА ПЪТНИЦИ ПО ДОПЪЛНИТЕЛНИ МАРШРУТНИ ЛИНИИ ОТ ОБЩИНСКАТА ТРАНСПОРТНА СХЕМА НА ТЕРИТОРИЯТА НА СТОЛИЧНА ОБЩИНА","https://www.ciela.net/svobodna-zona-normativi/view/-1073741276/naredba-na-stolichen-obshtinski-savet-za-izvarshvane-na-obshtestven-prevoz-na-patnitsi-po-dopalnitelni-marshrutni-linii-ot-obshtinskata-transportna-shema-na-teritoriyata-na-stolichna-obshtina"
"НАРЕДБА НА СТОЛИЧЕН ОБЩИНСКИ СЪВЕТ ЗА ПРАВАТА И ЗАДЪЛЖЕНИЯТА НА МЕСТНИТЕ ОРГАНИ НА РЕЛИГИОЗНИТЕ ОБЩНОСТИ НА ТЕРИТОРИЯТА НА СТОЛИЧНАТА ОБЩИНА И ВЗАИМООТНОШЕНИЯТА С МЕСТНИТЕ ОРГАНИ НА ИЗПЪЛНИТЕЛНАТА ВЛАСТ","https://www.ciela.net/svobodna-zona-normativi/view/-1073741274/naredba-na-stolichen-obshtinski-savet-za-pravata-i-zadalzheniyata-na-mestnite-organi-na-religioznite-obshtnosti-na-teritoriyata-na-stolichnata-obshtina-i-vzaimootnosheniyata-s-mestnite-organi-na-izpalnitelnata-vlast"
"НАРЕДБА НА СТОЛИЧЕН ОБЩИНСКИ СЪВЕТ ПО ПРИНУДИТЕЛНОТО ОТЧУЖДАВАНЕ НА ИМОТИ - ЧАСТНА СОБСТВЕНОСТ ЗА ОБЩИНСКИ НУЖДИ","https://www.ciela.net/svobodna-zona-normativi/view/-1073741283/naredba-na-stolichen-obshtinski-savet-po-prinuditelnoto-otchuzhdavane-na-imoti---chastna-sobstvenost-za-obshtinski-nuzhdi"
"НАРЕДБА НА СТОЛИЧЕН ОБЩИНСКИ СЪВЕТ ЗА ПРИВАТИЗАЦИЯ НА ГРУПА ПРЕДПРИЯТИЯ ЧРЕЗ ПОСРЕДНИЦИ","https://www.ciela.net/svobodna-zona-normativi/view/-1073741285/naredba-na-stolichen-obshtinski-savet-za-privatizatsiya-na-grupa-predpriyatiya-chrez-posrednitsi"
"НАРЕДБА НА СТОЛИЧЕН ОБЩИНСКИ СЪВЕТ ЗА ИЗПОЛЗВАНЕТО НА ТАКСИМЕТРОВИ АПАРАТИ НА ТЕРИТОРИЯТА НА СТОЛИЧНАТА ГОЛЯМА ОБЩИНА","https://www.ciela.net/svobodna-zona-normativi/view/-1073741287/naredba-na-stolichen-obshtinski-savet-za-izpolzvaneto-na-taksimetrovi-aparati-na-teritoriyata-na-stolichnata-golyama-obshtina"
"НАРЕДБА НА СТОЛИЧЕН ОБЩИНСКИ СЪВЕТ ЗА ПРЕДОСТАВЯНЕ НА КОНЦЕСИИ","https://www.ciela.net/svobodna-zona-normativi/view/-1073741290/naredba-na-stolichen-obshtinski-savet-za-predostavyane-na-kontsesii"
