"ttl","ttl href"
"НАРЕДБА № 9 ОТ 16 ДЕКЕМВРИ 1997 Г. ЗА ОБЩИ ПРАВИЛА ЗА УПРАВЛЕНИЕ НА ДЕЙНОСТТА ПО ОСИГУРЯВАНЕ НА БЕЗОПАСНОСТТА И ОПАЗВАНЕ ЗДРАВЕТО НА РАБОТЕЩИТЕ В МИНИТЕ","https://www.ciela.net/svobodna-zona-normativi/view/-1073741294/naredba-%E2%84%96-9-ot-16-dekemvri-1997-g-za-obshti-pravila-za-upravlenie-na-deynostta-po-osiguryavane-na-bezopasnostta-i-opazvane-zdraveto-na-raboteshtite-v-minite"
"НАРЕДБА № 6 ОТ 20 ФЕВРУАРИ 2008 Г. ЗА УТВЪРЖДАВАНЕ НА ОБРАЗЦИ НА ЗАПОВЕД ЗА ИЗПЪЛНЕНИЕ, ЗАЯВЛЕНИЕ ЗА ИЗДАВАНЕ НА ЗАПОВЕД ЗА ИЗПЪЛНЕНИЕ И ДРУГИ КНИЖА ВЪВ ВРЪЗКА СЪС ЗАПОВЕДНОТО ПРОИЗВОДСТВО","https://www.ciela.net/svobodna-zona-normativi/view/2135581297/naredba-%E2%84%96-6-ot-20-fevruari-2008-g-za-utvarzhdavane-na-obraztsi-na-zapoved-za-izpalnenie-zayavlenie-za-izdavane-na-zapoved-za-izpalnenie-i-drugi-knizha-vav-vrazka-sas-zapovednoto-proizvodstvo"
"НАРЕДБА ЗА ЕДИННИТЕ ДЪРЖАВНИ ИЗИСКВАНИЯ ЗА ПРИДОБИВАНЕ НА ВИСШЕ ОБРАЗОВАНИЕ ПО СПЕЦИАЛНОСТТА ""ИНЖЕНЕРЕН ДИЗАЙН"" ОТ ПРОФЕСИОНАЛНО НАПРАВЛЕНИЕ ""ОБЩО ИНЖЕНЕРСТВО""","https://www.ciela.net/svobodna-zona-normativi/view/-549973504/naredba-za-edinnite-darzhavni-iziskvaniya-za-pridobivane-na-visshe-obrazovanie-po-spetsialnostta-"
"НАРЕДБА № 11 ОТ 2 МАРТ 1987 Г. ЗА СТАИТЕ ЗА ЛИЧНА ХИГИЕНА НА ЖЕНИТЕ И ЗА ПОЧИВКА НА БРЕМЕННИТЕ ЖЕНИ","https://www.ciela.net/svobodna-zona-normativi/view/-552832511/naredba-%E2%84%96-11-ot-2-mart-1987-g-za-staite-za-lichna-higiena-na-zhenite-i-za-pochivka-na-bremennite-zheni"
"НАРЕДБА № 23 ОТ 17 МАЙ 2002 Г. ЗА ПРОФИЛАКТИКА И БОРБА С БОЛЕСТТА БЯС ПРИ ЖИВОТНИТЕ","https://www.ciela.net/svobodna-zona-normativi/view/-548900858/naredba-%E2%84%96-23-ot-17-may-2002-g-za-profilaktika-i-borba-s-bolestta-byas-pri-zhivotnite"
"НАРЕДБА № 22 ОТ 15 МАЙ 2002 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ПРИДОБИВАНЕ И ОТНЕМАНЕ НА ПРАВОТО НА ПОЛЗВАНЕ И УПРАВЛЕНИЕ ВЪРХУ ИМУЩЕСТВО, ЧАСТНА ДЪРЖАВНА СОБСТВЕНОСТ, ОТ ЖИВОТНОВЪДНИТЕ ОРГАНИЗАЦИИ","https://www.ciela.net/svobodna-zona-normativi/view/-548900859/naredba-%E2%84%96-22-ot-15-may-2002-g-za-usloviyata-i-reda-za-pridobivane-i-otnemane-na-pravoto-na-polzvane-i-upravlenie-varhu-imushtestvo-chastna-darzhavna-sobstvenost-ot-zhivotnovadnite-organizatsii"
"НАРЕДБА № 11 ОТ 1 МАРТ 2007 Г. ЗА УПРАВЛЕНИЕТО И НАДЗОРА ВЪРХУ ЛИКВИДНОСТТА НА БАНКИТЕ","https://www.ciela.net/svobodna-zona-normativi/view/2135546603/naredba-%E2%84%96-11-ot-1-mart-2007-g-za-upravlenieto-i-nadzora-varhu-likvidnostta-na-bankite"
"НАРЕДБА ЗА ИЗИСКВАНИЯТА КЪМ ПЕРСОНАЛА НА ТУРОПЕРАТОРИ ИЛИ ТУРИСТИЧЕСКИ АГЕНТИ, КЪМ ЛИЦЕТО, ОСЪЩЕСТВЯВАЩО ФУНКЦИИ ПО УПРАВЛЕНИЕ НА ТУРОПЕРАТОРСКА ИЛИ ТУРИСТИЧЕСКА АГЕНТСКА ДЕЙНОСТ, И КЪМ ПОМЕЩЕНИЯТА ЗА ИЗВЪРШВАНЕ НА ТУРОПЕРАТОРСКА ИЛИ ТУРИСТИЧЕСКА АГЕ","https://www.ciela.net/svobodna-zona-normativi/view/2135496088/naredba-za-iziskvaniyata-kam-personala-na-turoperatori-ili-turisticheski-agenti-kam-litseto-osashtestvyavashto-funktsii-po-upravlenie-na-turoperatorska-ili-turisticheska-agentska-deynost-i-kam-pomeshteniyata-za-izvarshvane-na-turoperatorska-ili-turisticheska-age"
"НАРЕДБА № 6 ОТ 25 НОЕМВРИ 2004 Г. ЗА ТЕХНИЧЕСКИ ПРАВИЛА И НОРМАТИВИ ЗА ПРОЕКТИРАНЕ, ИЗГРАЖДАНЕ И ПОЛЗВАНЕ НА ОБЕКТИТЕ И СЪОРЪЖЕНИЯТА ЗА ПРЕНОС, СЪХРАНЕНИЕ, РАЗПРЕДЕЛЕНИЕ И ДОСТАВКА НА ПРИРОДЕН ГАЗ","https://www.ciela.net/svobodna-zona-normativi/view/2135496087/naredba-%E2%84%96-6-ot-25-noemvri-2004-g-za-tehnicheski-pravila-i-normativi-za-proektirane-izgrazhdane-i-polzvane-na-obektite-i-saorazheniyata-za-prenos-sahranenie-razpredelenie-i-dostavka-na-priroden-gaz"
"НАРЕДБА № 3 ОТ 29 ОКТОМВРИ 2004 Г. ЗА ВОДЕНЕ И СЪХРАНЯВАНЕ НА РЕГИСТРИТЕ ОТ АДВОКАТСКИТЕ СЪВЕТИ","https://www.ciela.net/svobodna-zona-normativi/view/2135496086/naredba-%E2%84%96-3-ot-29-oktomvri-2004-g-za-vodene-i-sahranyavane-na-registrite-ot-advokatskite-saveti"
"НАРЕДБА № 4 ОТ 1 СЕПТЕМВРИ 2009 Г. ЗА ПРИДОБИВАНЕ НА КВАЛИФИКАЦИЯ ПО ПРОФЕСИЯТА ""БИОТЕХНОЛОГ""","https://www.ciela.net/svobodna-zona-normativi/view/2135647626/naredba-%E2%84%96-4-ot-1-septemvri-2009-g-za-pridobivane-na-kvalifikatsiya-po-profesiyata-"
"НАРЕДБА № 1 ОТ 19 ДЕКЕМВРИ 2008 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ОСЪЩЕСТВЯВАНЕ НА ДОСТЪП И/ИЛИ ВЗАИМНО СВЪРЗВАНЕ","https://www.ciela.net/svobodna-zona-normativi/view/2135613929/naredba-%E2%84%96-1-ot-19-dekemvri-2008-g-za-usloviyata-i-reda-za-osashtestvyavane-na-dostap-i/ili-vzaimno-svarzvane"
"НАРЕДБА ЗА РЕДА ЗА СЪЗДАВАНЕ, СЪХРАНЯВАНЕ, ОБНОВЯВАНЕ, ПОДДЪРЖАНЕ, ПРЕДОСТАВЯНЕ И ОТЧИТАНЕ НА ЗАПАСИТЕ ОТ ИНДИВИДУАЛНИ СРЕДСТВА ЗА ЗАЩИТА","https://www.ciela.net/svobodna-zona-normativi/view/2135613930/naredba-za-reda-za-sazdavane-sahranyavane-obnovyavane-poddarzhane-predostavyane-i-otchitane-na-zapasite-ot-individualni-sredstva-za-zashtita"
"НАРЕДБА ЗА РЕДА ЗА ОПРЕДЕЛЯНЕ НА ЦЕНИ НА ЗЕМЕДЕЛСКИТЕ ЗЕМИ (ЗАГЛ. ИЗМ. - ДВ, БР. 75 ОТ 2006 Г., В СИЛА ОТ 12.09.2006 Г.)","https://www.ciela.net/svobodna-zona-normativi/view/-549944832/naredba-za-reda-za-opredelyane-na-tseni-na-zemedelskite-zemi-(zagl-izm---dv-br-75-ot-2006-g-v-sila-ot-12092006-g)"
"НАРЕДБА ЗА ИЗГОТВЯНЕТО И ВОДЕНЕТО НА НАЦИОНАЛНИЯ БАЛАНС НА ЗАПАСИТЕ, РЕГИСТЪРА НА ОТКРИТИЯТА И СПЕЦИАЛИЗИРАНИЯ КАДАСТЪР НА НАХОДИЩАТА НА ПОДЗЕМНИ БОГАТСТВА","https://www.ciela.net/svobodna-zona-normativi/view/-549658621/naredba-za-izgotvyaneto-i-vodeneto-na-natsionalniya-balans-na-zapasite-registara-na-otkritiyata-i-spetsializiraniya-kadastar-na-nahodishtata-na-podzemni-bogatstva"
"НАРЕДБА ЗА ЕДИНЕН РЕГИСТЪР И КАДАСТЪР НА РАЗРЕШЕНИЯТА ЗА ТЪРСЕНЕ И/ИЛИ ПРОУЧВАНЕ","https://www.ciela.net/svobodna-zona-normativi/view/-549658617/naredba-za-edinen-registar-i-kadastar-na-razresheniyata-za-tarsene-i/ili-prouchvane"
"НАРЕДБА № 4 ОТ 1 ЮЛИ 2009 Г. ЗА ПРОЕКТИРАНЕ, ИЗПЪЛНЕНИЕ И ПОДДЪРЖАНЕ НА СТРОЕЖИТЕ В СЪОТВЕТСТВИЕ С ИЗИСКВАНИЯТА ЗА ДОСТЪПНА СРЕДА ЗА НАСЕЛЕНИЕТО, ВКЛЮЧИТЕЛНО ЗА ХОРАТА С УВРЕЖДАНИЯ","https://www.ciela.net/svobodna-zona-normativi/view/2135639181/naredba-%E2%84%96-4-ot-1-yuli-2009-g-za-proektirane-izpalnenie-i-poddarzhane-na-stroezhite-v-saotvetstvie-s-iziskvaniyata-za-dostapna-sreda-za-naselenieto-vklyuchitelno-za-horata-s-uvrezhdaniya"
"НАРЕДБА № 3 ОТ 23 МАРТ 2004 Г. ЗА ОСИГУРЯВАНЕ НА ЗДРАВОСЛОВНИ И БЕЗОПАСНИ УСЛОВИЯ НА ТРУД ПРИ МЕХАНИЧНО (СТУДЕНО) ОБРАБОТВАНЕ НА МЕТАЛИ","https://www.ciela.net/svobodna-zona-normativi/view/2135483220/naredba-%E2%84%96-3-ot-23-mart-2004-g-za-osiguryavane-na-zdravoslovni-i-bezopasni-usloviya-na-trud-pri-mehanichno-(studeno)-obrabotvane-na-metali"
"НАРЕДБА № 17 ОТ 14 СЕПТЕМВРИ 2007 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ПОЛУЧАВАНЕ НА РАЗРЕШЕНИЯ ЗА ЛИЦА, КОИТО ПРЕДЛАГАТ НА ПАЗАРА СЕМЕНА, ПРЕДНАЗНАЧЕНИ ЗА НАУЧНИ ЦЕЛИ ИЛИ СЕЛЕКЦИОННА ДЕЙНОСТ, ИЛИ СЕМЕНА ОТ СОРТОВЕ, ЗА КОИТО Е ПОДАДЕНА ЗАЯВКА ЗА ВПИСВАНЕ, НО ВС","https://www.ciela.net/svobodna-zona-normativi/view/2135564892/naredba-%E2%84%96-17-ot-14-septemvri-2007-g-za-usloviyata-i-reda-za-poluchavane-na-razresheniya-za-litsa-koito-predlagat-na-pazara-semena-prednaznacheni-za-nauchni-tseli-ili-selektsionna-deynost-ili-semena-ot-sortove-za-koito-e-podadena-zayavka-za-vpisvane-no-vs"
"НАРЕДБА № 4 ОТ 28 ЮНИ 2006 Г. ЗА НОРМИТЕ НА ПРЕДЕЛНИТЕ РАЗМЕРИ НА ЕСТЕСТВЕНИТЕ ФИРИ НА АКЦИЗНИТЕ СТОКИ","https://www.ciela.net/svobodna-zona-normativi/view/2135531962/naredba-%E2%84%96-4-ot-28-yuni-2006-g-za-normite-na-predelnite-razmeri-na-estestvenite-firi-na-aktsiznite-stoki"
"НАРЕДБА ЗА РЕДА ЗА ВОДЕНЕТО И СЪДЪРЖАНИЕТО НА РЕГИСТЪРА НА ДРУЖЕСТВАТА, НА КОИТО Е ИЗДАДЕНА ЛИЦЕНЗИЯ ЗА ДОБРОВОЛНО ЗДРАВНО ОСИГУРЯВАНЕ","https://www.ciela.net/svobodna-zona-normativi/view/-549667328/naredba-za-reda-za-vodeneto-i-sadarzhanieto-na-registara-na-druzhestvata-na-koito-e-izdadena-litsenziya-za-dobrovolno-zdravno-osiguryavane"
"НАРЕДБА № Н-10 ОТ 31 МАРТ 2010 Г. ЗА ИЗГОТВЯНЕ, УТВЪРЖДАВАНЕ, ИЗМЕНЕНИЕ И СЪХРАНЯВАНЕ НА ДЛЪЖНОСТНИТЕ РАЗПИСАНИЯ И ДЛЪЖНОСТНИТЕ ХАРАКТЕРИСТИКИ В МИНИСТЕРСТВОТО НА ОТБРАНАТА, СТРУКТУРИТЕ НА ПРЯКО ПОДЧИНЕНИЕ НА МИНИСТЪРА НА ОТБРАНАТА И БЪЛГАРСКАТА АРМИ","https://www.ciela.net/svobodna-zona-normativi/view/2135675127/naredba-%E2%84%96-n-10-ot-31-mart-2010-g-za-izgotvyane-utvarzhdavane-izmenenie-i-sahranyavane-na-dlazhnostnite-razpisaniya-i-dlazhnostnite-harakteristiki-v-ministerstvoto-na-otbranata-strukturite-na-pryako-podchinenie-na-ministara-na-otbranata-i-balgarskata-armi"
"НАРЕДБА № 43 ОТ 13 НОЕМВРИ 1995 Г. ЗА ПРОФИЛАКТИКА И КОНТРОЛ НА ВИРУСНИТЕ ХЕПАТИТИ В РЕПУБЛИКА БЪЛГАРИЯ","https://www.ciela.net/svobodna-zona-normativi/view/-550711296/naredba-%E2%84%96-43-ot-13-noemvri-1995-g-za-profilaktika-i-kontrol-na-virusnite-hepatiti-v-republika-balgariya"
"НАРЕДБА № Н-9 ОТ 29 ЮЛИ 2003 Г. ЗА РЕДА ЗА ИЗПОЛЗВАНЕ НА АРХИВНИТЕ ДОКУМЕНТИ, СЪХРАНЯВАНИ В ДИРЕКЦИЯ ""ЦЕНТРАЛЕН ВОЕНЕН АРХИВ"" - ВЕЛИКО ТЪРНОВО","https://www.ciela.net/svobodna-zona-normativi/view/2135470485/naredba-%E2%84%96-n-9-ot-29-yuli-2003-g-za-reda-za-izpolzvane-na-arhivnite-dokumenti-sahranyavani-v-direktsiya-"
"НАРЕДБА № 29 ОТ 22 ЮНИ 2004 Г. ЗА ПРОИЗВОДСТВО И ТЪРГОВИЯ НА ПОСЕВЕН МАТЕРИАЛ ОТ ТЮТЮН","https://www.ciela.net/svobodna-zona-normativi/view/2135487315/naredba-%E2%84%96-29-ot-22-yuni-2004-g-za-proizvodstvo-i-targoviya-na-poseven-material-ot-tyutyun"
"НАРЕДБА № 28 ОТ 15 ЮНИ 2004 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ПРОИЗВОДСТВО НА ДИВЕЧ ВЪВ ФЕРМЕРНИ УСЛОВИЯ И ПОЛУСВОБОДНО РАЗВЪЖДАНЕ","https://www.ciela.net/svobodna-zona-normativi/view/2135487314/naredba-%E2%84%96-28-ot-15-yuni-2004-g-za-usloviyata-i-reda-za-proizvodstvo-na-divech-vav-fermerni-usloviya-i-polusvobodno-razvazhdane"
"НАРЕДБА ЗА ОПРЕДЕЛЯНЕ НА УСЛОВИЯТА, РЕДА И ЦЕНИТЕ ЗА ДОСТАВКА НА ПЛАЗМА НА ПРОИЗВОДИТЕЛИТЕ НА ЛЕКАРСТВА","https://www.ciela.net/svobodna-zona-normativi/view/2135487313/naredba-za-opredelyane-na-usloviyata-reda-i-tsenite-za-dostavka-na-plazma-na-proizvoditelite-na-lekarstva"
"НАРЕДБА № 1 ОТ 23 ЮНИ 2004 Г. ЗА РЕДА ЗА ВОДЕНЕ НА ЕДИНЕН ПУБЛИЧЕН РЕГИСТЪР ПО ГЛАВА ЧЕТВЪРТА ОТ ЗАКОНА ЗА ФИЛМОВАТА ИНДУСТРИЯ","https://www.ciela.net/svobodna-zona-normativi/view/2135487312/naredba-%E2%84%96-1-ot-23-yuni-2004-g-za-reda-za-vodene-na-edinen-publichen-registar-po-glava-chetvarta-ot-zakona-za-filmovata-industriya"
"НАРЕДБА № 1 ОТ 6 ЯНУАРИ 2011 Г. ЗА ПРИДОБИВАНЕ НА КВАЛИФИКАЦИЯ ПО ПРОФЕСИЯТА ""ПОМОЩНИК В СТРОИТЕЛСТВОТО""","https://www.ciela.net/svobodna-zona-normativi/view/2135714621/naredba-%E2%84%96-1-ot-6-yanuari-2011-g-za-pridobivane-na-kvalifikatsiya-po-profesiyata-"
"НАРЕДБА № 4 ОТ 3 ФЕВРУАРИ 2004 Г. ЗА УСЛОВИЯТА И РЕДА ЗА ПОСТАВЯНЕ НА ЗАБРАНИТЕЛНИ ЗНАЦИ НА ГОРСКИТЕ ПЪТИЩА И МЕСТА В ГОРСКИЯ ФОНД И ОПРЕДЕЛЯНЕ НА ТЕХНИТЕ ОБРАЗЦИ","https://www.ciela.net/svobodna-zona-normativi/view/2135478886/naredba-%E2%84%96-4-ot-3-fevruari-2004-g-za-usloviyata-i-reda-za-postavyane-na-zabranitelni-znatsi-na-gorskite-patishta-i-mesta-v-gorskiya-fond-i-opredelyane-na-tehnite-obraztsi"
"НАРЕДБА № Н-8 ОТ 9 МАРТ 2011 Г. ЗА РЕЖИМА НА КОРАБОПЛАВАНЕ В ТЕРИТОРИАЛНОТО МОРЕ, ВЪТРЕШНИТЕ ВОДИ, ПРИСТАНИЩАТА И РЕЙДОВЕТЕ ПРИ ОСЪЩЕСТВЯВАНЕ ОТБРАНАТА НА СТРАНАТА","https://www.ciela.net/svobodna-zona-normativi/view/2135723023/naredba-%E2%84%96-n-8-ot-9-mart-2011-g-za-rezhima-na-koraboplavane-v-teritorialnoto-more-vatreshnite-vodi-pristanishtata-i-reydovete-pri-osashtestvyavane-otbranata-na-stranata"
"НАРЕДБА № 3 ОТ 4 ЮНИ 2007 Г. ЗА СПЕЦИФИЧНИТЕ ИЗИСКВАНИЯ КЪМ МАТЕРИАЛИТЕ И ПРЕДМЕТИТЕ, РАЗЛИЧНИ ОТ ПЛАСТМАСИ, ПРЕДНАЗНАЧЕНИ ЗА КОНТАКТ С ХРАНИ","https://www.ciela.net/svobodna-zona-normativi/view/2135556408/naredba-%E2%84%96-3-ot-4-yuni-2007-g-za-spetsifichnite-iziskvaniya-kam-materialite-i-predmetite-razlichni-ot-plastmasi-prednaznacheni-za-kontakt-s-hrani"
"НАРЕДБА № I-141 ОТ 18 СЕПТЕМВРИ 2002 Г. ЗА УСЛОВИЯТА И РЕДА, ПРИ КОИТО СЕ ПОЛЗВА СПЕЦИАЛЕН РЕЖИМ НА ДВИЖЕНИЕ ОТ МОТОРНИТЕ ПРЕВОЗНИ СРЕДСТВА","https://www.ciela.net/svobodna-zona-normativi/view/2135458425/naredba-%E2%84%96-i-141-ot-18-septemvri-2002-g-za-usloviyata-i-reda-pri-koito-se-polzva-spetsialen-rezhim-na-dvizhenie-ot-motornite-prevozni-sredstva"
"НАРЕДБА № 14 ОТ 24 ЮЛИ 1991 Г. ЗА ВОДЕНЕ И СЪХРАНЯВАНЕ НА РЕГИСТРИТЕ ЗА ВПИСВАНИЯТА","https://www.ciela.net/svobodna-zona-normativi/view/-551781375/naredba-%E2%84%96-14-ot-24-yuli-1991-g-za-vodene-i-sahranyavane-na-registrite-za-vpisvaniyata"
